City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,narsaq,60.9167,-46.05,6.12,98,100,1.81,GL,1677213501
1,cape town,-33.9258,18.4232,20.77,81,0,5.66,ZA,1677213502
2,ribeira grande,38.5167,-28.7,13.21,91,100,0.89,PT,1677213502
3,kapaa,22.0752,-159.319,24.99,83,100,7.2,US,1677213503
4,saskylakh,71.9167,114.0833,-23.05,98,100,2.08,RU,1677213504
5,khani,41.9563,42.9566,-3.24,98,100,0.86,GE,1677213504
6,albany,42.6001,-73.9662,3.23,93,99,0.45,US,1677213505
7,coaldale,49.7167,-112.6185,-26.45,76,100,3.09,CA,1677213506
8,faya,18.3851,42.4509,8.29,39,3,1.83,SA,1677213506
9,marsh harbour,26.5412,-77.0636,23.69,75,5,2.44,BS,1677213362
10,cabo san lucas,22.8909,-109.9124,20.28,79,99,2.9,MX,1677213371
11,antofagasta,-23.65,-70.4,19.6,81,15,1.82,CL,1677213484
12,longyearbyen,78.2186,15.6401,0.91,69,75,6.69,SJ,1677213509
13,arraial do cabo,-22.9661,-42.0278,23.73,91,100,5.63,BR,1677213509
14,road town,18.4167,-64.6167,24.05,71,61,8.81,VG,1677213510
15,manzhouli,49.6,117.4333,-11.5,77,2,3.61,CN,1677213511
16,tuktoyaktuk,69.4541,-133.0374,-14.0,92,100,10.8,CA,1677213511
17,flinders,-34.5833,150.8552,25.59,62,67,4.8,AU,1677213512
18,saint george,37.1041,-113.5841,1.35,91,100,2.57,US,1677213512
19,ushuaia,-54.8,-68.3,6.81,76,75,1.03,AR,1677213513
20,cabedelo,-6.9811,-34.8339,25.37,83,61,3.97,BR,1677213514
21,rikitea,-23.1203,-134.9692,26.83,72,50,3.47,PF,1677213515
22,avarua,-21.2078,-159.775,29.03,74,40,1.54,CK,1677213515
23,kamaishi,39.2667,141.8833,6.02,70,100,1.06,JP,1677213516
24,hilo,19.7297,-155.09,21.25,97,100,2.57,US,1677213413
25,nadym,65.5333,72.5167,-6.55,95,100,2.2,RU,1677213517
26,busselton,-33.65,115.3333,25.04,32,2,1.19,AU,1677213517
27,butaritari,3.0707,172.7902,26.99,77,50,3.99,KI,1677213518
28,dali,25.7,100.1833,18.59,29,1,1.56,CN,1677213519
29,bambous virieux,-20.3428,57.7575,27.9,83,40,2.06,MU,1677213519
30,paamiut,61.994,-49.6678,-1.42,90,100,13.25,GL,1677213520
31,ilulissat,69.2167,-51.1,0.01,69,75,6.69,GL,1677213521
32,mpika,-11.8343,31.4529,17.05,98,100,2.12,ZM,1677213522
33,port alfred,-33.5906,26.891,21.77,97,97,1.79,ZA,1677213522
34,guerrero negro,27.9769,-114.0611,13.86,58,43,3.95,MX,1677213523
35,beaufort,5.3473,115.7455,30.51,64,99,2.17,MY,1677213341
36,praia da vitoria,38.7333,-27.0667,15.42,94,75,9.8,PT,1677213524
37,kaihua,23.3687,104.28,12.09,83,100,2.93,CN,1677213524
38,coquimbo,-29.9533,-71.3436,16.85,94,100,2.06,CL,1677213525
39,hay river,60.8156,-115.7999,-22.01,64,0,4.12,CA,1677213526
40,bengkulu,-3.8004,102.2655,29.31,67,89,4.63,ID,1677213526
41,hobart,-42.8794,147.3294,31.24,32,0,4.12,AU,1677213331
42,chuy,-33.6971,-53.4616,20.69,94,56,2.62,UY,1677213327
43,esperance,-33.8667,121.9,19.09,51,3,5.6,AU,1677213528
44,tevriz,57.509,72.4042,-8.19,88,100,4.71,RU,1677213529
45,lubango,-14.9172,13.4925,15.72,80,100,1.08,AO,1677213529
46,kabanjahe,3.1001,98.4908,23.26,68,58,2.42,ID,1677213530
47,nicoya,10.1483,-85.452,23.41,71,5,4.7,CR,1677213530
48,barrow,71.2906,-156.7887,-5.99,86,100,6.17,US,1677213531
49,punta arenas,-53.15,-70.9167,8.06,87,100,5.14,CL,1677213279
50,ampanihy,-24.7,44.75,28.41,61,99,4.16,MG,1677213532
51,nouakchott,18.0858,-15.9785,16.96,63,8,5.54,MR,1677213532
52,toul,48.6667,5.9167,7.45,97,100,2.57,FR,1677213533
53,zhigalovo,54.8097,105.1578,-7.77,83,75,1.01,RU,1677213534
54,alofi,-19.0595,-169.9187,29.94,66,75,4.63,NU,1677213534
55,mawlaik,23.6333,94.4167,32.07,24,0,0.51,MM,1677213535
56,gondanglegi,-7.7479,112.0132,29.3,78,54,4.83,ID,1677213535
57,kaitangata,-46.2817,169.8464,14.95,59,3,5.9,NZ,1677213536
58,torbay,47.6666,-52.7314,-14.68,78,75,6.69,CA,1677213536
59,geraldton,-28.7667,114.6,32.23,33,40,6.69,AU,1677213537
60,chapais,49.7834,-74.8492,-25.12,92,100,2.75,CA,1677213538
61,mataura,-46.1927,168.8643,18.04,37,9,2.95,NZ,1677213538
62,cherskiy,68.75,161.3,-26.0,97,100,3.53,RU,1677213539
63,port lincoln,-34.7333,135.8667,22.6,71,98,7.54,AU,1677213539
64,yerbogachen,61.2767,108.0108,-9.16,86,61,3.98,RU,1677213540
65,anori,-3.7728,-61.6442,22.76,98,100,0.78,BR,1677213540
66,fayaoue,-20.65,166.5333,26.24,75,100,2.37,NC,1677213541
67,jiangmen,22.5833,113.0833,24.99,33,0,5.39,CN,1677213542
68,east london,-33.0153,27.9116,21.52,100,100,3.09,ZA,1677213542
69,hermanus,-34.4187,19.2345,18.36,82,0,1.29,ZA,1677213543
70,saldanha,-33.0117,17.9442,16.03,90,0,7.84,ZA,1677213543
71,tezu,27.9167,96.1667,20.42,64,97,2.45,IN,1677213544
72,saint-philippe,-21.3585,55.7679,27.77,81,51,4.19,RE,1677213545
73,upernavik,72.7868,-56.1549,-23.47,77,88,10.68,GL,1677213545
74,charters towers,-20.1,146.2667,28.25,53,95,5.49,AU,1677213546
75,omsukchan,62.5333,155.8,-26.54,94,100,2.44,RU,1677213547
76,pacific grove,36.6177,-121.9166,7.82,83,40,5.66,US,1677213547
77,carnarvon,-24.8667,113.6333,30.25,53,0,3.61,AU,1677213548
78,ponta do sol,32.6667,-17.1,14.84,76,66,2.09,PT,1677213549
79,georgetown,5.4112,100.3354,31.96,62,20,4.12,MY,1677213352
80,roma,43.2128,-75.4557,4.29,95,100,5.14,US,1677213315
81,nome,64.5011,-165.4064,-3.24,80,100,4.63,US,1677213338
82,bethel,41.3712,-73.414,4.31,88,100,2.57,US,1677213409
83,mantua,45.1667,10.7833,7.58,92,100,0.14,IT,1677213551
84,anadyr,64.75,177.4833,-16.72,77,100,7.0,RU,1677213552
85,dobryanka,58.4619,56.4165,-20.0,99,99,2.08,RU,1677213552
